# ACTS Test Suite Generation: Thu Mar 10 17:03:07 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 4
# Number of parameters: 4
# Maximum number of values per parameter: 4
# Number of configurations: 32
log_prob,log_combine,vocab,clean_opt
true,true,1,0
true,true,1,1
true,false,1,0
true,false,1,1
false,true,1,0
false,true,1,1
false,false,1,0
false,false,1,1
true,true,2,0
true,true,2,1
true,false,2,0
true,false,2,1
false,true,2,0
false,true,2,1
false,false,2,0
false,false,2,1
true,true,3,0
true,true,3,1
true,false,3,0
true,false,3,1
false,true,3,0
false,true,3,1
false,false,3,0
false,false,3,1
true,true,4,0
true,true,4,1
true,false,4,0
true,false,4,1
false,true,4,0
false,true,4,1
false,false,4,0
false,false,4,1
