# ACTS Test Suite Generation: Thu Mar 10 21:52:55 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 4
# Maximum number of values per parameter: 4
# Number of configurations: 32
CalculProbabilite,CombProbabilite,CreationVocabulaire,NettoyageTexte
mul,sum,1,0
sum_of_logs,sum_of_logs,1,0
mul,sum_of_logs,1,1
sum_of_logs,sum,1,1
mul,sum,1,2
sum_of_logs,sum_of_logs,1,2
mul,sum,1,3
sum_of_logs,sum_of_logs,1,3
mul,sum_of_logs,2,0
sum_of_logs,sum,2,0
mul,sum,2,1
sum_of_logs,sum_of_logs,2,1
mul,sum_of_logs,2,2
sum_of_logs,sum,2,2
mul,sum_of_logs,2,3
sum_of_logs,sum,2,3
mul,sum,3,0
sum_of_logs,sum_of_logs,3,0
mul,sum_of_logs,3,1
sum_of_logs,sum,3,1
mul,sum,3,2
sum_of_logs,sum_of_logs,3,2
mul,sum,3,3
sum_of_logs,sum_of_logs,3,3
mul,sum,4,0
sum_of_logs,sum_of_logs,4,0
mul,sum_of_logs,4,1
sum_of_logs,sum,4,1
mul,sum,4,2
sum_of_logs,sum_of_logs,4,2
mul,sum,4,3
sum_of_logs,sum_of_logs,4,3
